編號,鄉鎮市(區),收容場所名稱,衛福部重災系統災民收容所編號,"面積
（平方公尺）",預估收容人數,管理人,聯絡電話,地址,應收容村里別,適用災害類型,X軸,Y軸
120,暖暖區,基隆高中,SC205-0014,1730.4,347,林永隆,"（02）24582052#240
0919958300",基隆市暖暖區源遠路20號,"暖西里
暖東里
暖暖里
暖同里
八堵里
八中里
八西里
八南里","■震災■風災■水災■火災
■土石流災害■坡災■海嘯災害",323917.4,2777905.479
121,暖暖區,碇內國中,SC205-0015,1143.7,229,總務主任王淳純,"（02）24586105#31
0928813443",基隆市暖暖區源遠路152巷75號,"碇內里
碇和里
碇安里
碇祥里","■震災■風災■水災■火災
■土石流災害■坡災■海嘯災害",326073.55,2777013.457
122,暖暖區,碇內15號公園,SC205-0016,1000,200,邱志宏,"(02)24579121#501
0918-438788",基隆市暖暖區碇內街100號,碇祥里,"■震災■風災□水災■火災
□土石流災害□坡災□海嘯災害□核災",25.095582,121.754496
123,七堵區,長興里民活動中心,SC206-0001,260,52,姚琴富,"（02）24563563
0932260909",基隆市七堵區東新街25號,長興里,"□震災■風災□水災■火災
■土石流災害■坡災■海嘯災害",322439.4,2776449.869
124,七堵區,基隆高級商工職業學校,SC206-0002,2057.81,500,述務組長梁淑娟,"（02）24567126#231
0958348555",基隆市七堵區東新街22號,長興里,"■震災■風災□水災■火災
■土石流災害■坡災■海嘯災害",322348.14,2776477.306
125,七堵區,永平里民活動中心,SC206-0004,375,90,林東漢,"（02）24566659
0935042972",基隆市七堵區崇智街13-1號,"永平里
永安里","■震災■風災□水災■火災
■土石流災害■坡災■海嘯災害",321956.37,2776988.022
126,七堵區,七堵國小活動中心,SC206-0005,3426,600,總務主任黃青鋒,"（02）24567116轉31
0919293934",基隆市七堵區明德一路184號,"永平里
永安里
富民里","■震災■風災□水災■火災
■土石流災害■坡災■海嘯災害",321976.7,2776794.735
127,七堵區,八德里民活動中心,SC206-0006,70,14,余文財,"（02）24564002
0937872055",基隆市七堵區八德路70號,八德里,"■震災■風災□水災■火災
■土石流災害■坡災■海嘯災害",323412.99,2778483.962
128,七堵區,八德土地公廟,SC206-0007,60,12,余文財,"（02）24564002
0937872055",基隆市七堵區大華一路57巷43-4號,八德里,"■震災■風災□水災■火災
■土石流災害■坡災■海嘯災害",322272.84,2777172.793
129,七堵區,自強里民活動中心,SC206-0008,180,36,張仁化,"（02）24569686
0937872055",基隆市七堵區自強路1號,自強里,"■震災■風災□水災■火災
■土石流災害■坡災■海嘯災害",321834.97,2777291.561
130,七堵區,六堵里民活動中心,SC206-0009,237.7,48,廖國勳,"（02）24514632
0930193451",基隆市七堵區工建路104巷17-2號,六堵里,"□震災■風災□水災■火災
■土石流災害■坡災■海嘯災害",320793.34,2776013.865
131,七堵區,泰安里民活動中心,SC206-0010,210,42,詹仁豪,"（02）24522539
0937874580",基隆市七堵區泰和街57號,泰安里,"■震災■風災■水災■火災
■土石流災害■坡災■海嘯災害",321698.27,2775537.339
132,七堵區,五堵國小活動中心,SC206-0011,1787.17,358,黃正昆校長,"(02)24511457
0931102457",基隆市七堵區百一街25號,堵北里,"■震災□風災■水災■火災
■土石流災害■坡災■海嘯災害",319232.0385,2774989.199
133,七堵區,堵南國小活動中心,SC206-0012,1243,180,總務主任葉博仁,"（02）24511339#30
0936580825",基隆市七堵區大德路120號,堵南里,"■震災■風災□水災■火災
■土石流災害■坡災■海嘯災害",319821.71,2775177.006
134,七堵區,堵南里民活動中心,SC206-0013,200,40,余佩儒,"（02）24511868
0952425736",基隆市七堵區堵南街20-8號,堵南里,"■震災■風災□水災■火災
■土石流災害■坡災■海嘯災害",319784.775,2775312.377
135,七堵區,瑪陵國小活動中心,SC206-0014,200,30,總務陳士文,"（02）24565663#30
0919393600",基隆市七堵區大成街1號,瑪南里,"■震災■風災□水災■火災
■土石流災害■坡災■海嘯災害",319576.51,2778123.833
136,七堵區,瑪東里民活動中心,SC206-0015,280,56,李文良,"（02）24565293
0910107402",基隆市七堵區大同街29-3號,瑪東里,"■震災■風災■水災■火災
■土石流災害□坡災■海嘯災害",320428.35,2779462.256
137,七堵區,瑪西里民活動中心,SC206-0016,361,73,陳美雲,"（02）24553986
0912570571",基隆市七堵區大華三路75之1號,瑪西里,"■震災■風災■水災■火災
■土石流災害■坡災■海嘯災害",318309.51,2780190.45
138,七堵區,友一里民活動中心,SC206-0017,175,40,蕭雪,"（02）24517883
0937929057",基隆市七堵區華新一路59-1號,友一里,"□震災■風災□水災□火災
■土石流災害■坡災■海嘯災害",317462.24,2776142.845
139,七堵區,復興國小,SC206-0018,175,35,總務主任黃英人,"（02）24515601#30
0911938515",基隆市七堵區華新二路21號,友二里,"■震災■風災□水災■火災
□土石流災害□坡災■海嘯災害",317118.04,2777830.96
140,七堵區,七堵行政大樓6樓,SC206-0019,1000,200,謝振和,"（02）24566171
0972165722",基隆市七堵區光明路21號6樓,"正光里
正明里","■震災■風災■水災■火災
■土石流災害■坡災■海嘯災害",321732.188,2776296.844
141,七堵區,百福里民活動中心,SC206-0020,200,40,何孟翰,"（02）24519577
0935207865",基隆市七堵區實踐路263號,百福里,"■震災■風災□水災■火災
■土石流災害■坡災■海嘯災害",320104.76,2775719.737
142,七堵區,百福國中活動中心,SC206-0021,600,191,總務主任陳靜婷,"（02）24511158#30
0911909119",基隆市七堵區福五街1號,百福里,"■震災■風災□水災□火災
■土石流災害■坡災■海嘯災害",320475.71,2775226.398
143,七堵區,實踐里民活動中心,SC206-0022,105,50,吳麗如,"（02）24518581
0937506807",基隆市七堵區百一街52-1號,實踐里,"■震災■風災□水災■火災
■土石流災害■坡災■海嘯災害",320651.89,2774934.291
144,七堵區,長安里民活動中心,SC206-0023,300,60,張聰龍,"（02）24511858
0933597629",基隆市七堵區長安街31號,長安里,"■震災■風災□水災■火災
■土石流災害■坡災■海嘯災害",319887.13,2774495.87
